DANSEASY,EUDATB2Share,Zenodo,PseudoBase,OpenML,ProfilesRegistry,MendeleyData,4TU,CancerData.org,DHSDataAccess,WorldClim,WorldDataCentreForSoil,InfraredSpaceObservatory,LongAgingStudyAmsterdam,SoutEastAsianClimate,TRAILS,ICOSCarbonPortal,CESSDA,SeaDataNet,LISS,ORGIDSRodRep,eartH20bserve,EDGAR,KNMI,STITCH,ECAandD,Europeana,MycoBank,AlgaeBase,AmsterdamCohortStudies,ICTWSS,ShareERIC,LOVD3,CARIBIC,EIDA,SoundAndVision,Figshare,principle
1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0.5,,1,0,0,,0,1,0,0,0.5,0,1,0,0,1,0,0,,0,1,F
1,0,0.5,1,1,1,0,1,1,1,0.5,1,0,0,0.5,0,0,,1,1,0.5,,0,1,1,0.5,1,1,0.5,0,0,0.5,1,0,,0.5,1,F
1,1,0.5,0,0.5,0.5,1,1,1,0.5,0,1,0,0,0,0,0,,,1,1,,1,0,0,0,1,1,1,1,1,0,1,0,,1,1,F
1,1,1,1,0,0,,1,0.5,,0,,0,0,0,0,0,,1,0,0,,0,1,0,0,1,1,1,0,0,1,1,0,,1,1,F
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,A
,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A
1,1,1,1,1,1,,1,0.5,0,0,1,0,0,0,0,0,,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,0,,0,1,I
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I
1,0,1,0.5,0,1,1,0.5,1,0,0,1,0,0,0.5,0,1,,1,1,1,,0,1,1,1,1,0,1,0,1,1,1,0,,1,1,I
1,0,1,0,0,1,0,1,0.5,0,0,1,0,0,0,0,0.5,,1,1,0.5,,0,1,1,1,1,1,0.5,0,0.5,0,0.5,0,,0.5,0.5,R
1,1,1,0,1,1,1,0.5,0,0,0.5,1,0,0,0,0,0,,1,0,1,,0,1,1,0,1,0,0,0,0,0,1,0,,1,1,R
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R
